timestamp rx ry rz vx vy vz qx qy qz qw r p y 
1634146526093751 -0.038094334 -0.049606055 -6.829531193 -0.115707383 -0.063033141 -0.030116659 0.000704611 -0.015970567 -0.017322535 0.999722242 -0.125185594 0.138100788 0.001366170
1634146526145835 -0.045001909 -0.049904536 -6.829058170 -0.097695678 -0.047197513 0.082406826 0.000633432 -0.020622743 -0.021553056 0.999554873 -0.202139869 0.221331775 0.006748491
1634146526193835 -0.050409578 -0.049588140 -6.823175907 -0.077396743 -0.029026788 0.186828792 0.000478296 -0.026461758 -0.027052499 0.999283671 -0.228946850 0.245619521 0.006391124
1634146526245919 -0.054885797 -0.048750915 -6.810209751 -0.053257011 -0.007999675 0.338878423 0.000266793 -0.033454094 -0.033535231 0.998877466 -0.269873768 0.281337887 0.008838695
1634146526293919 -0.057761654 -0.047074821 -6.791128159 -0.025685132 0.016112274 0.463980854 0.000086285 -0.040079247 -0.039711099 0.998407125 -0.237481192 0.254456818 0.009154202
1634146526346003 -0.059127379 -0.044274025 -6.763200760 0.005851874 0.044176992 0.628974974 -0.000136816 -0.046582956 -0.045645401 0.997871041 -0.230152085 0.250848740 0.008219872
1634146526394003 -0.059565548 -0.039081711 -6.731364250 0.038817905 0.074677080 0.764582753 -0.000364194 -0.052068874 -0.050777342 0.997351706 -0.188144594 0.200778082 0.014682036
1634146526446087 -0.058935106 -0.030421400 -6.690714359 0.074000269 0.109030291 0.939924896 -0.000691464 -0.056951921 -0.055343211 0.996841609 -0.180786088 0.189285979 0.014572288
1634146526494087 -0.056528207 -0.021104431 -6.645016670 0.111359991 0.143669009 1.080310106 -0.001005943 -0.061098661 -0.059114780 0.996379197 -0.127893999 0.147683725 0.013684955
1634146526546171 -0.051500581 -0.009955006 -6.586721897 0.149798244 0.178754240 1.262977600 -0.001329321 -0.064766884 -0.062281009 0.995954096 -0.124289706 0.145621896 0.010790637
1634146526594171 -0.044935219 0.001796228 -6.524504185 0.189280212 0.215706736 1.406499147 -0.001635037 -0.067945056 -0.065037079 0.995565653 -0.098878630 0.113162227 0.012130859
1634146526646255 -0.035226028 0.016051900 -6.449628353 0.236738905 0.259084255 1.539221883 -0.002026434 -0.070939220 -0.067622766 0.995183766 -0.114271648 0.119818501 0.012918758
1634146526694255 -0.023924690 0.031104973 -6.374998569 0.284988910 0.302974969 1.632486343 -0.002427602 -0.073455513 -0.069907159 0.994842470 -0.070681810 0.079063654 0.015395639
1634146526746339 -0.008647213 0.049536493 -6.289647102 0.344114810 0.357106626 1.691613913 -0.002847999 -0.075611271 -0.071858183 0.994540751 -0.081884257 0.089809492 0.016821168
1634146526794339 0.006992447 0.070714802 -6.208836079 0.402140677 0.411116064 1.721815228 -0.003198997 -0.076983079 -0.073205918 0.994336188 -0.021533724 0.022137946 0.017394168
1634146526846423 0.025797090 0.098389842 -6.120449543 0.468161672 0.474324286 1.725132465 -0.003580048 -0.077305257 -0.073603481 0.994280457 -0.011841219 0.015039449 0.012755109
1634146526894423 0.046435591 0.126496434 -6.038601398 0.529175937 0.532594264 1.717354298 -0.003882036 -0.077000827 -0.073254116 0.994328737 0.047485396 -0.041500673 0.012220887
1634146526946506 0.072885588 0.159175903 -5.951086998 0.597316682 0.596542776 1.686111331 -0.004115071 -0.075854160 -0.071867906 0.994517148 0.058367681 -0.044957280 0.008721562
1634146526994506 0.100562833 0.191949949 -5.871788979 0.658166170 0.652052402 1.655883670 -0.004281608 -0.074310534 -0.069901794 0.994773090 0.112207286 -0.088669054 0.003676255
1634146527046590 0.134357318 0.229733631 -5.787671566 0.723098874 0.711378217 1.603787303 -0.004378728 -0.071817696 -0.066957884 0.995158136 0.111916304 -0.097261012 0.004362650
1634146527094590 0.168609962 0.267058074 -5.712310791 0.779973269 0.762088001 1.558819175 -0.004341900 -0.069124304 -0.064076468 0.995538712 0.141387224 -0.135126397 -0.004368185
1634146527146674 0.209138110 0.309643716 -5.633565903 0.838727295 0.813859582 1.490182996 -0.004210959 -0.065572925 -0.060457241 0.996005774 0.136371642 -0.135431036 -0.002397647
